"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"In-Tunnel - Conduit - Termination Box","Conditional","ECD","ECD","No","No","N/A","TU","308","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_75","Service Outlet Boxes","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_75","3IN","01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset","Line","Ryan, Xavier",,,"3610","7/05/2026 12:10 PM","7/07/2026 11:27 AM","Muhammad Abid-T2D"
"In-Tunnel - Conduit - TIRTL Transmitter","Conditional","TMX","TMX","No","No","Model","TU","308","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_75_75_36","Traffic Sensors","EF_70_30_45Ss_70_30_45_45Pr_75_75_36","3IN","01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset","Point","Ryan, Xavier",,,"3611","7/05/2026 12:10 PM","20/05/2026 5:58 PM","Gunagi, Pooja"
"In-Tunnel - Conduit Assembly","N/A","N/A",,"N/A","No","N/A","TU","308","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_71","3IN","01.05 M&E","01.05.01.03.04 Cables (LV)",,,,"Ryan, Xavier",,,"3606","30/04/2026 9:31 AM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"In-Tunnel Smoke Detector","Yes","TSD","HRL","Yes","No","Model","FD",,"EF_75_50_28","Fire and smoke detection and alarms","Ss_75_50_28","Fire and smoke detection and alarm systems","Pr_75_80_30_65","Point smoke detectors","EF_75_50_28Ss_75_50_28Pr_75_80_30_65",,"01.05 M&E","01.05.02.01.06 In-Tunnel Smoke Detector",,"Point Asset","Point","James McKinlay-T2D",,,"2722","25/07/2025 3:13 PM","20/05/2026 5:58 PM","Gunagi, Pooja"
"In-Tunnel Structures - Arch Panel Support Frames","No","N/A",,"N/A","No","N/A","TU","308","EF_37_50","Tunnels and shafts","Ss_20_10_75","Structural framing systems","Pr_20_76_51","Metal sections","EF_37_50Ss_20_10_75Pr_20_76_51","2T","N/A","N/A",,,,"Ryan, Xavier",,,"3559","14/04/2026 2:15 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"In-Tunnel Structures - Arch Panel Support Frames (Portals)","No","N/A",,"N/A","No","N/A","TU","308","EF_37_50_20","Cut-and-cover tunnels","Ss_20_10_75","Structural framing systems","Pr_20_76_51","Metal sections","EF_37_50_20Ss_20_10_75Pr_20_76_51","2P","N/A","N/A",,,,"Ryan, Xavier",,,"3589","24/04/2026 11:13 AM","23/06/2026 10:39 AM","Ryan, Xavier"
"In-Tunnel Structures - Barrier","Yes","SFB","SFB","No","No","Model","TU","308","EF_25_55","Barriers","Ss_25_16_94_16","Concrete safety barrier (CSB) systems","Pr_25_71_57_18","Concrete safety barrier panels","EF_25_55Ss_25_16_94_16Pr_25_71_57_18","3IN","01.03 Roadside","01.03.03.01.01 Safety Barrier ",,"Linear Referenced Asset","Line","Tay, Bryan","799",,"273","13/05/2025 5:19 PM","20/05/2026 5:51 PM","Gunagi, Pooja"
"In-Tunnel Structures - Barrier Infill Concrete","No","N/A",,"N/A","No","N/A","TU","308","EF_25_55","Barriers","Ss_25_16_94_16","Concrete safety barrier (CSB) systems","Pr_20_85_14_16","Concrete solid slabs","EF_25_55Ss_25_16_94_16Pr_20_85_14_16","3IN","N/A","N/A",,,,"Ryan, Xavier",,,"3555","14/04/2026 8:31 AM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"In-Tunnel Structures - ITS and Signage Support","No","N/A",,"N/A","No","N/A","TU","308","EF_37_50","Tunnels and shafts","Ss_20_10_75","Structural framing systems","Pr_20_85","Support and restraint products","EF_37_50Ss_20_10_75Pr_20_85","2T","N/A","N/A",,,,"Ryan, Xavier",,,"3558","14/04/2026 2:03 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"In-Tunnel Structures - Low Point Sump","Yes","SUM","SUM","Yes","No","Model","TU","308","EF_50_35","Below-ground drainage collection","Ss_37_16_10_92","Tunnel drainage sump systems","Pr_65_52_25","Drainage traps, separators and accessories","EF_50_35Ss_37_16_10_92Pr_65_52_25","3SP","01.05 M&E","01.05.04.09.01 Sump structure",,"Point Asset","Point","Tay, Bryan","800",,"274","13/05/2025 5:19 PM","20/05/2026 5:57 PM","Gunagi, Pooja"
"In-Tunnel Structures - Precast Road Culvert Concrete Support Structure at Portals","No","N/A",,"N/A","No","N/A","TU","307","EF_30_30","Decks","Ss_30_12_85_70","Reinforced concrete deck systems","Pr_65_52_20","Culverts","EF_30_30Ss_30_12_85_70Pr_65_52_20","3IN","N/A","N/A",,,,"Tay, Bryan","797",,"271","13/05/2025 5:19 PM","20/05/2026 2:35 PM","Bird, Cheyne"
